X,Y,LAT,LONG,FC,DSG,SORT_NAME_,FULL_NAME_,FULL_NAM_1,SORT_NAM_1,FULL_NAM_2,FULL_NAM_3,NOTE,ADM1_1,ADM2,ADM3,NO_ADM4,ID_ADM4,NOM_ADM4,ADM4,bbox
-72.716667,19.25,19.25,-72.716667,P,PPL,ROBINET,Robinet,Robinet,ROBINET,Robinet,Robinet,,Artibonite,Dessalines,GRANDE SALINE,2,543-01,1ère Poteneau,POTENEAU,"(4:-72.77949928676253,19.2202906006309,-72.62398485831443,...)"
-71.8,19.566667,19.566667,-71.8,P,PPL,PLACEPRUDHOMME,Place Prudhomme,Place Prudhomme,PLACEPRUDHOMME,Place Prudhomme,Place Prudhomme,,Nord-Est,Ouanaminte,OUANAMINTHE,1,421-01,1ère Haut Maribahoux,HAUT MARIBAHOUX,"(4:-71.82459339157163,19.52132878279724,-71.71194023815133,...)"
-72.783333,19.816667,19.816667,-72.783333,P,PPL,PLACENEGRE,Place Nègre,Place Negre,PLACENEGRE,Place Nègre,Place Negre,,Nord-Ouest,Port-de-Paix,BASSIN BLEU,1,913-01,1ère La  Plate,LA PLATE,"(4:-72.81012121771988,19.76731965677692,-72.72456689664483,...)"
-72.033333,19.4,19.4,-72.033333,P,PPL,OGE,Ogé,Oge,OGE,Ogé,Oge,,Nord,Saint Raphaël,RANQUITTE,2,343-02,2ème Bois de Lance,BOIS DE LANCE,"(4:-72.10339823014408,19.38516536988607,-72.01363486785471,...)"
-72.483333,19.2,19.2,-72.483333,P,PPL,ODIJE,Odijé,Odije,ODIJE,Odijé,Odije,,Artibonite,Dessalines,DESSALINES / MARCHANDES,3,541-03,3ème Ogé,OGE,"(4:-72.58272336479132,19.17582242326637,-72.4527948257205,...)"
-72.75,19.783333,19.783333,-72.75,P,PPL,ODIGE,Odige,Odige,ODIGE,Odige,Odige,,Artibonite,Gros Morne,GROS MORNE,5,521-05,5ème Pendu,PENDU,"(4:-72.75521078095261,19.74893633334528,-72.67655744716831,...)"
-72.65,19.8,19.8,-72.65,P,PPL,ODELIQUE,Odelique,Odelique,ODELIQUE,Odelique,Odelique,,Nord,Borgne,BORGNE,6,351-06,6ème Molas,MOLAS,"(4:-72.68458001225758,19.77591667191706,-72.62992373109518,...)"
-72.433333,18.35,18.35,-72.433333,P,PPL,OBRIAN,O’Brian,O'Brian,OBRIAN,O’Brian,O'Brian,,Sud-Est,Jacmel,JACMEL,5,211-05,5ème Marbial,MARBIAL,"(4:-72.48293401858996,18.32690304673838,-72.43161457025604,...)"
-73.150833,19.755,19.755,-73.150833,P,PPL,OBO,Obo,Obo,OBO,Obo,Obo,,Nord-Ouest,Môle Saint Nicolas,JEAN RABEL,4,934-04,4ème La Montagne,LA MONTAGNE,"(4:-73.18813602955396,19.7298162736023,-73.11720851426139,...)"
-72.6,18.4,18.4,-72.6,P,PPL,OBEY,Obey,Obey,OBEY,Obey,Obey,,Ouest,Léogâne,LEOGANE,12,121-10,12ème Cormiers,CORMIERS,"(4:-72.64233291033537,18.37894821019194,-72.57891519727838,...)"
-72.433333,18.233333,18.233333,-72.433333,P,PPL,OBAN,Oban,Oban,OBAN,Oban,Oban,,Sud-Est,Jacmel,CAYES-JACMEL,1,213-01,1ère Ravine Normande,RAVINE NORMANDE,"(4:-72.44356565732909,18.22479084702013,-72.39499305958191,...)"
-72.166667,18.8,18.8,-72.166667,P,PPL,NOYAU,Noyau,Noyau,NOYAU,Noyau,Noyau,,Centre,Mirebalais,SAUT-D'EAU,1,622-01,1ère Rivière Canot,RIVIERE CANOT,"(4:-72.23430764358272,18.75143151964909,-72.15535583740183,...)"
-72.283333,18.233333,18.233333,-72.283333,P,PPL,TOUMAT,Toumat,Toumat,TOUMAT,Toumat,Toumat,,Sud-Est,Jacmel,MARIGOT,5,212-05,5ème Savane Dubois,SAVANE DUBOIS,"(4:-72.33969808260031,18.22195231774543,-72.22097987342227,...)"
-72.706111,18.235,18.235,-72.706111,P,PPL,TOULOUYE,Toulouye,Toulouye,TOULOUYE,Toulouye,Toulouye,,Sud-Est,Bainet,BAINET,2,221-02,2ème Trou Mahot,TROU MAHOT,"(4:-72.7468115501128,18.17484983725035,-72.68429800464907,...)"
-72.083333,19.433333,19.433333,-72.083333,P,PPL,SIDOR,Sidor,Sidor,SIDOR,Sidor,Sidor,,Nord,Saint Raphaël,RANQUITTE,2,343-02,2ème Bois de Lance,BOIS DE LANCE,"(4:-72.10339823014408,19.38516536988607,-72.01363486785471,...)"
-73.903611,18.094444,18.094444,-73.903611,P,PPL,MACAYA,Macaya,Macaya,MACAYA,Macaya,Macaya,,Sud,Port-Salut,PORT-SALUT,4,721-03,4ème Barbois,DARBOIS,"(4:-73.94294257164222,18.06516401310887,-73.85269810893044,...)"
-73.683333,18.316667,18.316667,-73.683333,P,PPL,ROCHE,Roche,Roche,ROCHE,Roche,Roche,,Sud,Aquin,CAVAILLON,2,733-02,2ème Martineau,MARTINEAU,"(4:-73.69981355714981,18.24876810016787,-73.62069479093168,...)"
-72.233333,19.216667,19.216667,-72.233333,P,PPL,ROCBLANC,Roc Blanc,Roc Blanc,ROCBLANC,Roc Blanc,Roc Blanc,,Centre,Hinche,MAISSADE,1,612-01,1ère Savane Grande,GRANDE SAVANE,"(4:-72.26574255627378,19.11482753866017,-72.11546868243357,...)"
-72.333333,19.183333,19.183333,-72.333333,P,PPL,ROCBLANC,Roc Blanc,Roc Blanc,ROCBLANC,Roc Blanc,Roc Blanc,,Artibonite,Dessalines,DESSALINES / MARCHANDES,6,541-06,6ème La Croix,LA CROIX,"(4:-72.43704829294421,19.15115592070936,-72.25705393439142,...)"
-73.583333,18.4,18.4,-73.583333,P,PPL,ROBUSTE,Robuste,Robuste,ROBUSTE,Robuste,Robuste,,Sud,Aquin,CAVAILLON,4,733-04,4ème Mare Henry,MARE HENRY,"(4:-73.65626393473264,18.36587512803487,-73.53860792021919,...)"
-73.2,18.933333,18.933333,-73.2,P,PPL,PLAINELASOURCE,Plaine la Source,Plaine la Source,PLAINELASOURCE,Plaine la Source,Plaine la Source,,Ouest,La Gonave,POINTE A RAQUETTE,5,152-01,6ème La Source,GROS MANGLE,"(4:-73.30113019240429,18.90788924699132,-73.14577718237092,...)"
-73.2,18.933333,18.933333,-73.2,P,PPL,PLAINESOURCE,Plaine Source,Plaine Source,PLAINESOURCE,Plaine Source,Plaine Source,,Ouest,La Gonave,POINTE A RAQUETTE,5,152-01,6ème La Source,GROS MANGLE,"(4:-73.30113019240429,18.90788924699132,-73.14577718237092,...)"
-73.233333,18.916667,18.916667,-73.233333,P,PPL,PLAINEJEANNIS,Plaine Jeannis,Plaine Jeannis,PLAINEJEANNIS,Plaine Jeannis,Plaine Jeannis,,Ouest,La Gonave,POINTE A RAQUETTE,6,152-02,7ème Grand Vide,LA SOURCE,"(4:-73.30379594842412,18.83415715992516,-73.17540597760365,...)"
-72.366667,19.233333,19.233333,-72.366667,P,PPL,PLAINEGUERRIER,Plaine Guerrier,Plaine Guerrier,PLAINEGUERRIER,Plaine Guerrier,Plaine Guerrier,,Artibonite,Marmelade,SAINT-MICHEL,6,551-06,6ème Lacedras,LACEDRAS,"(4:-72.40086043895792,19.22182766611405,-72.27426304540307,...)"
-72.283333,19.416667,19.416667,-72.283333,P,PPL,TROISBOUTEILLES,Trois Bouteilles,Trois Bouteilles,TROISBOUTEILLES,Trois Bouteilles,Trois Bouteilles,,Artibonite,Marmelade,SAINT-MICHEL,4,551-04,4ème Lalomas,LALOMAS,"(4:-72.31599208476672,19.38351495115421,-72.22290406556999,...)"
-72.616667,19.233333,19.233333,-72.616667,P,PPL,TROISBORNES,Trois Bornes,Trois Bornes,TROISBORNES,Trois Bornes,Trois Bornes,,Artibonite,Dessalines,DESSALINES / MARCHANDES,2,541-02,2ème Fossé Naboth,DUVALLON,"(4:-72.63566730170447,19.20450030684384,-72.54698423743247,...)"
-72.600278,18.517222,18.517222,-72.600278,P,PPL,SIGUENAU,Siguenau,Siguenau,SIGUENAU,Siguenau,Siguenau,,Ouest,Léogâne,LEOGANE,3,121-03,3ème Grande Rivère,GRANDE RIVIERE,"(4:-72.62267808312686,18.45178453113135,-72.55577751701867,...)"
-72.600278,18.517222,18.517222,-72.600278,P,PPL,SIGUENEAU,Sigueneau,Sigueneau,SIGUENEAU,Sigueneau,Sigueneau,,Ouest,Léogâne,LEOGANE,3,121-03,3ème Grande Rivère,GRANDE RIVIERE,"(4:-72.62267808312686,18.45178453113135,-72.55577751701867,...)"
-72.600278,18.517222,18.517222,-72.600278,P,PPL,DAMPUCE,Dampuce,Dampuce,DAMPUCE,Dampuce,Dampuce,,Ouest,Léogâne,LEOGANE,3,121-03,3ème Grande Rivère,GRANDE RIVIERE,"(4:-72.62267808312686,18.45178453113135,-72.55577751701867,...)"
-74.0,18.216667,18.216667,-74,P,PPL,NIVROSE,Nivrose,Nivrose,NIVROSE,Nivrose,Nivrose,,Sud,Coteaux,COTEAUX,4,741-01,4ème Condé,CONDE,"(4:-74.03400691658578,18.18283265140587,-73.98654233396138,...)"
-72.116667,18.883333,18.883333,-72.116667,P,PPL,NIVA,Niva,Niva,NIVA,Niva,Niva,,Centre,Mirebalais,BOUCAN CARRE,3,623-03,3ème des Bayes,DES BAYES,"(4:-72.15725860589981,18.8380083573,-71.99675915710924,19.02772880284215)"
-72.133333,18.766667,18.766667,-72.133333,P,PPL,NIVA,Niva,Niva,NIVA,Niva,Niva,,Centre,Mirebalais,MIREBALAIS,3,621-01,3ème Grand Boucan,GRAND BOUCAN,"(4:-72.20114827817036,18.69524686315236,-72.10460012999187,...)"
-72.316667,19.066667,19.066667,-72.316667,P,PPL,NITILE,Nitile,Nitile,NITILE,Nitile,Nitile,,Artibonite,Dessalines,PETITE RIVIERE DE L'ARTI,6,542-06,6ème Médor,MEDOR,"(4:-72.40759939089901,19.01039193324129,-72.22174291490347,...)"
-72.55,19.65,19.65,-72.55,P,PPL,NIO,Nio,Nio,NIO,Nio,Nio,,Nord,Plaisance,PILATE,1,372-01,1ère Ballon,BALLON,"(4:-72.57612926755149,19.62908559712275,-72.52901653478511,...)"
-72.8,19.583333,19.583333,-72.8,P,PPL,NICOTE,Nicote,Nicote,NICOTE,Nicote,Nicote,,Artibonite,Gros Morne,TERRE NEUVE,1,522-01,1ère Dolan,DOLAND,"(4:-72.8454206800202,19.51324543073218,-72.71207053622612,...)"
-72.283333,18.466667,18.466667,-72.283333,P,PPL,NICOLEAU,Nicoleau,Nicoleau,NICOLEAU,Nicoleau,Nicoleau,,Ouest,Port-au-Prince,PETION-VILLE,4,114-03,4ème Bellevue la Montagne,BELLEVUE LA MONTAGNE,"(4:-72.29183342217453,18.45713022008374,-72.21255843742182,...)"
-72.166667,18.933333,18.933333,-72.166667,P,PPL,NICOLAS,Nicolas,Nicolas,NICOLAS,Nicolas,Nicolas,,Centre,Mirebalais,BOUCAN CARRE,2,623-02,2ème Boucan Carré,BOUCAN CARRE,"(4:-72.24985706744957,18.84469173113865,-72.1345105569165,...)"
-72.586667,18.905278,18.905278,-72.586667,P,PPL,NICOLAS,Nicolas,Nicolas,NICOLAS,Nicolas,Nicolas,,Ouest,Arcahaie,ARCAHAIE,7,141-04,7ème Fonds Baptiste,FONDS BAPTISTE,"(4:-72.61666221488917,18.83303959759951,-72.52003321226277,...)"
